"Service";"Sexe";"Niveau de satisfaction";"Durée hebdo";"Promotion";"Work_accident";"Salaire_Moyen_35h"
"Marketing";"H";34;35;0;0;12699.216790999999
"Compta Finances";"H";78;35;0;0;13370.721
"Marketing";"H";45;35;0;0;12325.889292000002
"RH";"H";58;35;1;0;12608.687
"Consultant";"F";60;35;0;0;11157.054999999997
"Commercial";"H";40;35;0;1;12525.482623999998
"Consultant";"F";69;35;0;0;13499.849999999999
"Commercial";"F";13;35;0;1;10169.068000000001
"Consultant";"H";72;35;1;0;10905.44
"RH";"H";3;35;0;0;11282.271039000001
"RH";"H";32;35;0;1;11466.106127
"Informatique";"H";77;35;0;0;10051.86
"Commercial";"H";48;35;0;1;10243.324
"Commercial";"F";15;35;0;0;11466
"Commercial";"F";81;35;0;0;11111.919038999999
"Commercial";"H";52;35;1;0;13093.808045999998
"Consultant";"H";1;35;0;0;9447.3167
"Consultant";"F";9;35;0;0;11688.343292
"Consultant";"H";25;35;0;0;9682.309
"Informatique";"F";74;35;1;0;10116.287964000001
"Compta Finances";"F";84;35;0;0;9348.778867
"Marketing";"F";69;35;0;0;9587.032
"Consultant";"F";7;35;0;0;10719.754461
"Informatique";"H";8;35;0;1;11007.329707
"Commercial";"H";11;35;0;0;9160.363367
"RH";"H";1;35;1;0;10847.19996
"RH";"F";59;32;0;0;11532.884999999998
"Commercial";"F";84;35;1;1;10329.364539
"RH";"F";62;35;1;0;10408.473873
"Informatique";"H";93;35;0;0;10459.539959999998
"Commercial";"H";80;35;0;0;11939.230379
"Marketing";"H";89;35;0;0;11653.399378
"Compta Finances";"H";26;35;0;0;11914.296379
"Compta Finances";"F";25;35;0;0;10906.077042
"Commercial";"F";44;35;0;0;8888.728299
"RH";"H";87;35;0;0;9162.517000000002
"Informatique";"H";35;35;0;0;8543.034500000002
"Commercial";"H";44;35;0;1;9945.177706
"Compta Finances";"F";96;35;1;0;11622.428999999998
"Commercial";"H";14;35;1;1;9671.055372
"Compta Finances";"F";42;35;0;0;9332.474704
"Compta Finances";"F";60;35;0;0;9493.939038
"RH";"H";78;35;0;0;9105.763370000002
"Compta Finances";"F";32;35;0;0;9369.451038000001
"Commercial";"F";54;35;0;1;11051.768
"RH";"F";69;35;0;0;11189.178
"Compta Finances";"H";70;35;1;0;11141.039046
"Marketing";"F";75;35;0;0;9184.447962
"Compta Finances";"F";32;35;1;0;9103.882629
"Commercial";"F";78;35;0;0;10961.040954
"Commercial";"H";42;35;0;1;10464.454044
"Compta Finances";"F";65;35;0;1;10663.380000000001
"Compta Finances";"F";53;35;0;0;10019.918999999998
"RH";"F";63;35;0;0;10713.490711999997
"Compta Finances";"H";96;35;0;0;9381.372
"Commercial";"H";31;35;0;1;9487.933041
"RH";"H";86;35;0;0;9792.631291
"RH";"F";47;35;0;0;8379.901797
"Consultant";"F";77;35;1;0;10511.758879
"Informatique";"H";54;35;0;0;8037.347535
"RH";"F";84;35;0;0;9241.899292999999
"Marketing";"H";59;35;0;0;9700.175291
"Compta Finances";"F";55;35;1;0;9045.824627
"Commercial";"F";77;35;0;0;7946.696298000001
"Compta Finances";"F";70;35;0;0;8631.168039
"Marketing";"H";17;28;0;0;12050.14422125
"Consultant";"F";24;35;0;0;8185.874704000001
"Consultant";"F";34;35;0;0;8545.992038999999
"Consultant";"H";5;28;1;0;9722.3945
"Marketing";"H";64;35;0;0;9516.931623
"RH";"H";84;35;1;0;9442.31171
"Compta Finances";"H";66;35;0;0;7688.984369000001
"Marketing";"H";54;35;1;0;9842.6965
"Consultant";"H";89;35;0;0;9906.168954
"RH";"F";6;35;0;0;7371.8645
"RH";"F";42;35;0;1;8649.1405
"Commercial";"H";39;35;0;1;7168.9800000000005
"Informatique";"H";31;35;0;0;8922.459042
"Consultant";"H";99;35;1;0;9135.459623
"Commercial";"F";21;35;1;0;8075.7495
"Marketing";"H";1;24;0;0;12073.5615
"Commercial";"F";41;35;0;1;7180.582499999999
"Commercial";"F";47;35;0;0;7773.583962000001
"Compta Finances";"F";6;32;0;0;7670.572
"Consultant";"F";63;35;0;1;7843.805627
"Marketing";"F";67;35;0;0;7439.750500000001
"Informatique";"H";4;35;1;0;8875.654712
"Informatique";"H";30;35;0;1;6559.310367
"Consultant";"F";72;35;0;0;7953.339292
"Consultant";"H";80;35;0;0;7755.414293
"Consultant";"H";68;35;0;0;7102.686537000001
"Informatique";"F";4;35;0;0;8009.001
"Consultant";"F";39;35;0;0;8444.345000000001
"Commercial";"F";3;35;0;0;6522.880035
"Commercial";"H";56;35;1;0;7620.567459000001
"Informatique";"H";57;24;0;0;10542.304499999998
"RH";"H";29;35;0;0;8522.696046
"Commercial";"F";38;35;1;0;7149.930627999999
"Compta Finances";"F";94;35;1;0;6127.3333
"Commercial";"H";7;35;0;1;8080.072044
"Consultant";"H";36;35;0;0;6225.234201
"Commercial";"H";74;35;0;1;8384.178787
"Marketing";"H";70;35;0;1;6123.026034
"Commercial";"H";17;35;0;0;6343.852702
"Marketing";"F";1;24;0;0;11457.445999999998
"Commercial";"H";41;35;0;0;6961.363461
"Marketing";"H";37;35;0;0;7887.121711
"Commercial";"F";15;24;0;0;10575.5195
"Consultant";"H";94;35;0;0;7902.076
"Commercial";"H";15;35;0;0;7953.946000000001
"Commercial";"H";19;35;0;0;6727.1294609999995
"Consultant";"F";51;35;1;0;6083.410702000001
"Compta Finances";"H";100;24;0;0;9599.893333333333
"Consultant";"F";50;35;0;0;6535.483461
"Commercial";"F";86;35;1;1;6697.5999600000005
"RH";"F";7;35;0;0;6019.179797
"Marketing";"H";81;35;1;0;6786.688959
"Commercial";"H";47;35;0;0;7322.497
"Marketing";"H";25;24;0;0;11072.091333333334
"Consultant";"H";8;35;0;0;5837.3315
"Consultant";"H";51;24;0;0;10329.561666666666
"Consultant";"F";51;35;0;0;7005.33171
"RH";"H";80;35;0;0;5574.295999999999
"RH";"F";30;35;0;0;7357.501713000001
"Informatique";"H";32;35;0;0;5786.189463000001
"RH";"F";77;35;0;0;5617.27837
"Consultant";"H";62;28;0;0;7008.6682875000015
"Commercial";"F";31;35;0;0;5653.193037
"RH";"F";20;35;0;0;6751.456789000001
"RH";"F";55;35;0;0;7043.384787
"RH";"F";46;35;0;0;6270.142708
"RH";"H";95;35;0;0;6243.813292
